	Konrad_Zuse	
Konrad	Konrad_Zuse	person
Zuse	Konrad_Zuse	person
was		
a		
German		
civil	Civil_engineer	misc
engineer	Civil_engineer	misc
,		
inventor	Inventor	misc
and		
computer		
pioneer		
.		
His		
greatest		
achievement		
was		
the		
world		
's		
first		
programmable		
computer	Computer	misc
;		
the		
functional		
program		
-		
controlled		
Turing	Turing_completeness	misc
-	Turing_completeness	misc
complete	Turing_completeness	misc
Z3	Z3_(computer)	misc
became		
operational		
in		
May		
1941		
.		
Thanks		
to		
this		
machine		
and		
its		
predecessors		
,		
Zuse	Konrad_Zuse	person
has		
often		
been		
regarded		
as		
the		
inventor	Inventor	misc
of		
the		
modern		
computer	Computer	misc
.		
Zuse	Konrad_Zuse	person
was		
also		
noted		
for		
the		
S2		
computing	Computer	misc
machine	Computer	misc
,		
considered		
the		
first		
process	Process_control	misc
control	Process_control	misc
computer	Computer	misc
.		
He	Konrad_Zuse	person
founded		
one		
of		
the		
earliest		
computer	Computer_industry	misc
businesses	Computer_industry	misc
in		
1941		
,		
producing		
the		
Z4	Z4_(computer)	misc
,		
which		
became		
the		
world		
's		
first		
commercial		
computer	Computer	misc
.		
From		
1943		
to		
1945		
he	Konrad_Zuse	
designed		
the		
first		
high	High-level_programming_language	misc
-	High-level_programming_language	misc
level	High-level_programming_language	misc
programming	High-level_programming_language	misc
language	High-level_programming_language	misc
,		
Plankalkül	Plankalkül	misc
.		
In		
1969		
,		
Zuse	Konrad_Zuse	person
suggested		
the		
concept	Concept	misc
of		
a		
computation		
-		
based		
universe	Universe	misc
in		
his		
book	Book	misc
Rechnender	Calculating_Space	misc
Raum	Calculating_Space	misc
(		
Calculating	Calculating_Space	misc
Space	Calculating_Space	misc
)		
.		
Much		
of		
his	Konrad_Zuse	person
early		
work		
was		
financed		
by		
his	Konrad_Zuse	person
family	Family	misc
and		
commerce	Commerce	misc
,		
but		
after		
1939		
he	Konrad_Zuse	person
was		
given		
resources	Resource	misc
by		
the		
Nazi	Nazi_Germany	organization
German	Nazi_Germany	organization
government	Nazi_Germany	organization
.		
Due		
to		
World	World_War_II	misc
War	World_War_II	misc
II	World_War_II	misc
,		
Zuse	Konrad_Zuse	person
's	Konrad_Zuse	person
work		
went		
largely		
unnoticed		
in		
the		
United	United_Kingdom	organization
Kingdom	United_Kingdom	organization
and		
the		
United	United_States	organization
States	United_States	organization
.		
Possibly		
his		
first		
documented		
influence		
on		
a		
US	United_States	organization
company	Company	organization
was		
IBM	IBM	organization
's	IBM	organization
option		
on		
his	Konrad_Zuse	person
patents	Patent	misc
in		
1946		
.		
There		
is		
a		
