	Arachnophobia_(film)	
1990 	1990	misc
film 	Film	misc
directed 		
by 		
Frank 	Frank_Marshall_(filmmaker)	person
Marshall 	Frank_Marshall_(filmmaker)	person
Arachnophobia 	Arachnophobia_(film)	misc
is 		
a 		
1990 	1990	misc
American 	United_States	location
[[natural 	natural_horror	misc
horror]] 	natural_horror	misc
[[comedy horror|comedy]] 	comedy_horror	misc
film 	Film	misc
directed 		
by 		
[[Frank Marshall (filmmaker)|Frank 	Frank_Marshall_(filmmaker)	person
Marshall]] 	Frank_Marshall_(filmmaker)	person
in 		
his 		
[[directorial 	directorial_debut	misc
debut]] 	directorial_debut	misc
from 		
a 		
screenplay 	Screenplay	misc
by 		
Don 		
Jakoby 		
and 		
[[Wesley 	Wesley_Strick	person
Strick]] 	Wesley_Strick	person
. 		
Starring 		
[[Jeff 	Jeff_Daniels	person
Daniels]] 	Jeff_Daniels	person
and 		
[[John 	John_Goodman	person
Goodman]] 	John_Goodman	person
, 		
the 	Arachnophobia_(film)	misc
film 	Arachnophobia_(film)	misc
follows 		
a 		
small 		
California 	California	location
town 	town	misc
that 		
becomes 		
invaded 		
by 		
an 		
aggressive 		
and 		
dangerous 		
spider 	Spider_taxonomy	misc
species 	Spider_taxonomy	misc
. 		
Its 		
title 		
refers 		
to 		
the 		
[[Arachnophobia|fear 	Arachnophobia	misc
of 	Arachnophobia	misc
spiders]] 	Arachnophobia	misc
. 		
The 	Arachnophobia_(film)	misc
film 	Arachnophobia_(film)	misc
was 		
the 		
first 		
produced 		
by 		
[[Hollywood 	Hollywood_Pictures	organization
Pictures]] 	Hollywood_Pictures	organization
, 		
a 		
subsidiary 	Subsidiary	misc
of 		
[[Walt Disney Studios (division)|Walt 	Walt_Disney_Studios_(division)	organization
Disney 	Walt_Disney_Studios_(division)	organization
Studios]] 	Walt_Disney_Studios_(division)	organization
. 		
It 		
released 		
in 		
the 		
[[United 	United_States	location
States]] 	United_States	location
on 		
July 	July	misc
18 		
, 		
1990 	1990	misc
, 		
to 		
generally 		
positive 		
reviews 	Review	misc
from 		
critics 	Film_criticism	misc
and 		
grossed 		
$ 		
53.21 		
million 		
on 		
a 		
$ 		
22 		
million 		
budget 	Budget	misc
. 		
Plot 	Plot_(narrative)	misc
In 		
a 		
[[Venezuela]]n 	Venezuela	location
[[tepui]] 	tepui	misc
, 		
[[Entomology|entomologist]] 	Entomology	misc
James 		
Atherton 		
captures 		
two 		
members 		
of 		
an 		
aggressive 		
, 		
newly 		
discovered 		
species 	Spider_taxonomy	misc
of 	Spider_taxonomy	misc
spider 	Spider_taxonomy	misc
of 		
prehistoric 	Prehistory	misc
origin 		
. 		
The 		
spiders 	Spider	misc
lack 		
[[sex 	sex_organ	misc
organ]]s 	sex_organ	misc
, 		
indicating 		
that 		
they 		
are 		
laborers 	Laborer	misc
or 		
soldiers 	Soldier	misc
, 		
thereby 		
existing 		
as 		
a 		
[[Eusociality|hive]] 	Eusociality	misc
( 		
atypical 		
of 		
spiders 	Spider	misc
) 		
. 		
A 		
[[Fertility|fertile]] 	Fertility	misc
male 	Male	misc
of 		
the 		
same 		
species 	Species	misc
bites 		
bedridden 		
American 	United_States	location
[[Nature photography|nature 	Nature_photography	misc
photographer]] 	Nature_photography	misc
Jerry 		
Manley 		
, 		
who 		
has 		
a 		
severe 		
[[Epileptic seizure|seizure]] 	Epileptic_seizure	misc
from 		
the 		
[[venom]] 	venom	misc
and 		
dies 		
. 		
The 		
scientist 	Scientist	misc
sends 		
Manley		
's 		
body 	Cadaver	misc
back 		
to 		
his 		
hometown 	Town	misc
of 		
Canaima 		
, 		
California 	California	location
, 		
unaware 		
that 		
the 		
spider 	Spider	misc
has 		
crawled 		
into 		
the 		
coffin 	Coffin	misc
. 		
Manley		
's 		
desiccated 		
body 	Cadaver	misc
arrives 		
at 		
the 		
mortuary 	Morgue	misc
of 		
mortician 	Funeral_director	misc
Irv 		
Kendall 		
. 		
The 		
spider 	Spider	misc
escapes 		
from 		
the 		
coffin 	Coffin	misc
, 		
is 		
picked 		
up 		
by 		
a 		
[[crow]] 	crow	misc
and 		
bites 		
the 		
bird 	Bird	misc
. 		
The 		
crow 	Crow	misc
falls 		
dead 		
outside 		
the 		
barn 	Barn	misc
of 		
Ross 		
Jennings 		
, 		
a 		
