1	empire in Central Europe between 1871–1918.
2	German EmpireGerman ReichNew Imperialism / World War
3	I /
4	Modern Age18711918Unification18 JanuaryAbdication of Wilhelm II9 NovemberConstitution adopted16 April 1871; 4 May 1871Obtained Colonies in the Empire15 November 1884First World War28 July 1914German Revolution3 November 1918Armistice declared11 November 1918Treaty of Versailles28 June 1919North German ConfederationFlag of the German Empire.svgKingdom of BavariaFlag of Bavaria (striped).svgKingdom of WürttembergFlagge Königreich Württemberg.svgGrand Duchy of Baden
5	Flagge Großherzogtum Baden (1871-1891).svgGrand Duchy of HesseFlagge Großherzogtum Hessen ohne Wappen.svgWeimar RepublicSecond Polish RepublicTerritory of the Saar Basin!Saar BasinFree City of DanzigLithuania!Republic of LithuaniaFirst Czechoslovak RepublicFlag of Germany (3-2 aspect ratio).svgFlag of Poland.svgFlag of Saar 1920-1935.svgFlag of the Free City of Danzig.svgFlag of Lithuania 1918-1940.svgFlag of the Czech Republic.svgFlag of the German Empire.svg!borderFlag of the German EmpireWappen Deutsches Reich - Reichsadler 1889.svgCoat of armsCoat of arms of Germany#German EmpireGerman colonial.
6	PNGGerman colonies and protectorates in 1914German Empire 1914.svgGermany on the eve of World War IDeutsches Reich (1871-1918)-de.svgGott mit uns\\"God with us\\"BerlinOfficial:GermanWhitaker's data for 1890Majority:62.8% Protestant (Lutheran, Reformed, United)EmperorWilhelm I1871–1888Friedrich III1888Wilhelm II1888–1918ChancellorOtto von Bismarck (first)1871–1890Max von Baden (last)1918Upper House187140,050,792190052,279,915191064,925,993540857.541913–19182,658,161Vereinsthaler,South German gulden, Bremen thaler,Hamburg mark,French franc,(until 1873, together)
7	German gold mark,(1873–1914)German Papiermark(1914–1918)Area and population not including colonial possessions Area source: Population source:The German Empire (Deutsches Kaiserreich, officially Deutsches Reich), also known as Imperial Germany, was the German nation state that existed from the unification of Germany in 1871 until the abdication of Kaiser Wilhelm II in 1918.
8	It was founded in 1871 when the south German states, except for Austria, joined the North German Confederation.
9	On 1 January 1871, the new constitution came into force that changed the name of the federal state and introduced the title of emperor for Wilhelm I, King of Prussia from the House of Hohenzollern.
10	Berlin remained its capital, and Otto von Bismarck remained Chancellor, the head of government.
11	As these events occurred, the Prussian-led North German Confederation and its southern German allies were still engaged in the Franco-Prussian War.
12	The German Empire consisted of 26 states, most of them ruled by royal families.
13	They included four kingdoms, six grand duchies, five duchies (six before 1876), seven principalities, three free Hanseatic cities, and one imperial territory.
14	Although Prussia was one of several kingdoms in the realm, it contained about two thirds of Germany's population and territory.
15	Prussian dominance was also established constitutionally.
16	After 1850, the states of Germany had rapidly become industrialized, with particular strengths in coal, iron (and later steel), chemicals, and railways.
17	In 1871, Germany had a population of 41 million people; by 1913, this had increased to 68 million.
18	A heavily rural collection of states in 1815, the now united Germany became predominantly urban.
19	During its 47 years of existence, the German Empire was an industrial, technological, and scientific giant, gaining more Nobel Prizes in science than any other country.
20	By 1900, Germany was the largest economy in Europe, surpassing the United Kingdom, as well as the second-largest in the world, behind only the United States.
21	From 1867 to 1878/9, Otto von Bismarck's tenure as the first and to this day longest reigning Chancellor was marked by relative liberalism, but it became more conservative afterwards.
22	Broad reforms and the Kulturkampf marked his period in the office.
23	Late in Bismarck's chancellorship and in spite of his personal opposition, Germany became involved in colonialism.
24	Claiming much of the leftover territory that was yet unclaimed in the Scramble for Africa, it managed to build the third-largest colonial empire after the British and the French ones.
25	As a colonial state, it sometimes clashed with other European powers, especially the British Empire.
26	Germany became a great power, boasting a rapidly developing rail network, the world's strongest army, and a fast-growing industrial base.
27	In less than a decade, its navy became second only to Britain's Royal Navy.
28	After the removal of Otto von Bismarck by Wilhelm II in 1890, the Empire embarked on Weltpolitik – a bellicose new course that ultimately contributed to the outbreak of World War I.
29	In addition, Bismarck's successors were incapable of maintaining their predecessor's complex, shifting, and overlapping alliances which had kept Germany from being diplomatically isolated.
30	This period was marked by various factors influencing the Emperor's decisions, which were often perceived as contradictory or unpredictable by the public.
31	In 1879, the German Empire consolidated the Dual Alliance with Austria-Hungary, followed by the Triple Alliance with Italy in 1882.
32	It also retained strong diplomatic ties to the Ottoman Empire.
33	When the great crisis of 1914 arrived, Italy left the alliance and the Ottoman Empire formally allied with Germany.
34	In the First World War, German plans to capture Paris quickly in the autumn of 1914 failed.
35	 The war on the Western Front became a stalemate.
36	The Allied naval blockade caused severe shortages of food.
37	However, Imperial Germany had  success on the Eastern Front; it occupied a large amount of territory to its east following the Treaty of Brest-Litovsk.
38	The German declaration of unrestricted submarine warfare in early 1917, contributed to bringing the United States into the war.
39	The high command under Paul von Hindenburg and Erich Ludendorff increasingly controlled the country, but in October after the failed offensive in spring 1918, the German armies were in retreat, allies Austria-Hungary and the Ottoman Empire had collapsed, and Bulgaria had surrendered.
40	The Empire collapsed in the November 1918 Revolution with the abdications of its monarchs.
41	This left a postwar federal republic and a devastated and unsatisfied populace, which later led to the rise of Adolf Hitler and Nazism.
42	HistoryBackgroundOtto von Bismarck, the visionary statesman who unified Germany with the help of his skillful political moves and the exploitation of encountered opportunities The German Confederation had been created by an act of the Congress of Vienna on 8 June 1815 as a result of the Napoleonic Wars, after being alluded to in Article 6  of the 1814 Treaty of Paris.
43	German nationalism rapidly shifted from its liberal and democratic character in 1848, called Pan-Germanism, to Prussian prime minister Otto von Bismarck's pragmatic Realpolitik.
44	Bismarck sought to extend Hohenzollern hegemony throughout the German states; to do so meant unification of the German states and the exclusion of Prussia's main German rival, Austria, from the subsequent German Empire.
45	He envisioned a conservative, Prussian-dominated Germany.
46	Three wars led to military successes and helped to persuade German people to do this: the Second Schleswig War against Denmark in 1864, the Austro-Prussian War in 1866, and the Franco-Prussian War against France in 1870–71.
47	The German Confederation ended as a result of the Austro-Prussian War of 1866 between the constituent Confederation entities of the Austrian Empire and its allies on one side and the Kingdom of Prussia and its allies on the other.
48	The war resulted in the partial replacement of the Confederation in 1867 by a North German Confederation, comprising the 22 states north of the Main.
49	The patriotic fervour generated by the Franco-Prussian War overwhelmed the remaining opposition to a unified Germany (aside from Austria) in the four states south of the Main and during November 1870 they joined the North German Confederation by treaty.
50	FoundationOn 10 December 1870, the North German Confederation Reichstag renamed the Confederation the \\"German Empire\\" and gave the title of German Emperor to William I, the King of Prussia, as Bundespräsidium of the Confederation.
51	The new constitution (Constitution of the German Confederation) and the title Emperor came into effect on 1 January 1871.
52	During the Siege of Paris on 18 January 1871, William accepted to be proclaimed Emperor in the Hall of Mirrors at the Palace of Versailles.
53	The second German Constitution, adopted by the Reichstag on 14 April 1871 and proclaimed by the Emperor on 16 April, was substantially based upon Bismarck's North German Constitution.
54	The political system remained the same.
55	The empire had a parliament called the Reichstag, which was elected by universal male suffrage.
56	However, the original constituencies drawn in 1871 were never redrawn to reflect the growth of urban areas.
57	As a result, by the time of the great expansion of German cities in the 1890s and 1900s, rural areas were grossly over-represented.
58	Die Proklamation des Deutschen Kaiserreiches by Anton von Werner (1877), depicting the proclamation of Kaiser Wilhelm (18 January 1871, Palace of Versailles).
59	From left, on the podium (in black): Crown Prince Frederick (later Frederick III), his father Emperor Wilhelm I, and Frederick I of Baden, proposing a toast to the new emperor.
60	At centre (in white): Otto von Bismarck, first Chancellor of Germany, Helmuth von Moltke the Elder, Prussian Chief of Staff.
61	Legislation also required the consent of the Bundesrat, the federal council of deputies from the 27 states.
62	Executive power was vested in the emperor, or Kaiser, who was assisted by a chancellor responsible only to him.
63	The emperor was given extensive powers by the constitution.
